datetime,value,variable,device,device_name
2023-10-30 16:33:00-05:00,128.08,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:30:00-05:00,127.84,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:27:00-05:00,128.67,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:24:00-05:00,128.28,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:21:00-05:00,127.86,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:18:00-05:00,127.77,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:15:00-05:00,127.75,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:12:00-05:00,127.83,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:09:00-05:00,127.46,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:06:00-05:00,128.1,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:03:00-05:00,128.11,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 16:00:00-05:00,127.79,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:57:00-05:00,127.58,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:54:00-05:00,127.63,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:51:00-05:00,127.48,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:48:00-05:00,128.01,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:45:00-05:00,127.84,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:42:00-05:00,127.7,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:39:00-05:00,127.58,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:36:00-05:00,127.62,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:33:00-05:00,127.75,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:30:00-05:00,127.61,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:27:00-05:00,128.0,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:24:00-05:00,127.81,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:21:00-05:00,127.46,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:18:00-05:00,127.36,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:15:00-05:00,127.4,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:12:00-05:00,127.46,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:09:00-05:00,127.41,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:06:00-05:00,126.44,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:03:00-05:00,126.61,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 15:00:00-05:00,125.88,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:57:00-05:00,126.05,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:54:00-05:00,126.16,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:51:00-05:00,126.08,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:48:00-05:00,126.59,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:45:00-05:00,126.72,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:42:00-05:00,126.21,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:39:00-05:00,126.16,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:36:00-05:00,126.12,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:33:00-05:00,126.01,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:30:00-05:00,126.6,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:27:00-05:00,126.65,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:24:00-05:00,126.07,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:21:00-05:00,126.13,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:18:00-05:00,126.03,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:15:00-05:00,126.13,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:12:00-05:00,126.6,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:09:00-05:00,126.89,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:06:00-05:00,126.86,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:03:00-05:00,126.45,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 14:00:00-05:00,126.47,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:57:00-05:00,126.52,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:54:00-05:00,126.9,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:51:00-05:00,126.85,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:48:00-05:00,126.8,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:45:00-05:00,126.58,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:42:00-05:00,126.66,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:39:00-05:00,126.76,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:36:00-05:00,126.98,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:33:00-05:00,127.3,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:30:00-05:00,126.6,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:27:00-05:00,126.72,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:24:00-05:00,126.69,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:21:00-05:00,126.62,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:18:00-05:00,127.3,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:15:00-05:00,127.01,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:12:00-05:00,126.65,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:09:00-05:00,126.92,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:06:00-05:00,126.86,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:03:00-05:00,126.93,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 13:00:00-05:00,127.44,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:57:00-05:00,127.63,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:54:00-05:00,126.9,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:51:00-05:00,126.95,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:48:00-05:00,127.15,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:45:00-05:00,127.7,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:42:00-05:00,127.47,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:39:00-05:00,127.49,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:36:00-05:00,127.02,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:33:00-05:00,127.19,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:30:00-05:00,127.01,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:27:00-05:00,127.36,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:24:00-05:00,127.52,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:21:00-05:00,127.48,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:18:00-05:00,126.95,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:15:00-05:00,128.18,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:12:00-05:00,128.06,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:09:00-05:00,128.71,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:06:00-05:00,128.58,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
2023-10-30 12:03:00-05:00,128.38,front-tension-3,bc-291-las-palmas,BC 291 - Las Palmas
